"Member","File","Touches","Insertions","Deletions"
"Albiona Maxhuni","temp_build_verify_2/OnlineExam.Api.dll","2","0","0"
"Albiona Maxhuni","temp_build_verify_2/OnlineExam.Api.exe","2","0","0"
"Albiona Maxhuni","temp_build_verify_2/OnlineExam.Api.pdb","2","0","0"
"Albiona Maxhuni","temp_build_verify_2/OnlineExam.Api.runtimeconfig.json","2","40","0"
"Albiona Maxhuni","temp_build_verify_2/pl/Microsoft.CodeAnalysis.CSharp.resources.dll","2","0","0"
"Albiona Maxhuni","temp_build_verify_2/pl/Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","2","0","0"
"Albiona Maxhuni","temp_build_verify_2/pl/Microsoft.CodeAnalysis.resources.dll","2","0","0"
"Albiona Maxhuni","temp_build_verify_2/pl/Microsoft.CodeAnalysis.Workspaces.resources.dll","2","0","0"
"Albiona Maxhuni","temp_build_verify_2/pt-BR/Microsoft.CodeAnalysis.CSharp.resources.dll","2","0","0"
"Albiona Maxhuni","temp_build_verify_2/pt-BR/Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","2","0","0"
"Albiona Maxhuni","temp_build_verify_2/pt-BR/Microsoft.CodeAnalysis.resources.dll","2","0","0"
"Albiona Maxhuni","temp_build_verify_2/pt-BR/Microsoft.CodeAnalysis.Workspaces.resources.dll","2","0","0"
"Albiona Maxhuni","temp_build_verify_2/ru/Microsoft.CodeAnalysis.CSharp.resources.dll","2","0","0"
"Albiona Maxhuni","temp_build_verify_2/ru/Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","2","0","0"
"Albiona Maxhuni","temp_build_verify_2/ru/Microsoft.CodeAnalysis.resources.dll","2","0","0"
"Albiona Maxhuni","temp_build_verify_2/ru/Microsoft.CodeAnalysis.Workspaces.resources.dll","2","0","0"
"Albiona Maxhuni","temp_build_verify_2/Swashbuckle.AspNetCore.Swagger.dll","2","0","0"
"Albiona Maxhuni","temp_build_verify_2/Swashbuckle.AspNetCore.SwaggerGen.dll","2","0","0"
"Albiona Maxhuni","temp_build_verify_2/Swashbuckle.AspNetCore.SwaggerUI.dll","2","0","0"
"Albiona Maxhuni","temp_build_verify_2/System.CodeDom.dll","2","0","0"
"Albiona Maxhuni","temp_build_verify_2/System.Composition.AttributedModel.dll","2","0","0"
"Albiona Maxhuni","temp_build_verify_2/System.Composition.Convention.dll","2","0","0"
"Albiona Maxhuni","temp_build_verify_2/System.Composition.Hosting.dll","2","0","0"
"Albiona Maxhuni","temp_build_verify_2/System.Composition.Runtime.dll","2","0","0"
"Albiona Maxhuni","temp_build_verify_2/System.Composition.TypedParts.dll","2","0","0"
"Albiona Maxhuni","temp_build_verify_2/System.IdentityModel.Tokens.Jwt.dll","2","0","0"
"Albiona Maxhuni","temp_build_verify_2/tr/Microsoft.CodeAnalysis.CSharp.resources.dll","2","0","0"
"Albiona Maxhuni","temp_build_verify_2/tr/Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","2","0","0"
"Albiona Maxhuni","temp_build_verify_2/tr/Microsoft.CodeAnalysis.resources.dll","2","0","0"
"Albiona Maxhuni","temp_build_verify_2/tr/Microsoft.CodeAnalysis.Workspaces.resources.dll","2","0","0"
"Albiona Maxhuni","temp_build_verify_2/zh-Hans/Microsoft.CodeAnalysis.CSharp.resources.dll","2","0","0"
"Albiona Maxhuni","temp_build_verify_2/zh-Hans/Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","2","0","0"
"Albiona Maxhuni","temp_build_verify_2/zh-Hans/Microsoft.CodeAnalysis.resources.dll","2","0","0"
"Albiona Maxhuni","temp_build_verify_2/zh-Hans/Microsoft.CodeAnalysis.Workspaces.resources.dll","2","0","0"
"Albiona Maxhuni","temp_build_verify_2/zh-Hant/Microsoft.CodeAnalysis.CSharp.resources.dll","2","0","0"
"Albiona Maxhuni","temp_build_verify_2/zh-Hant/Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","2","0","0"
"Albiona Maxhuni","temp_build_verify_2/zh-Hant/Microsoft.CodeAnalysis.resources.dll","2","0","0"
"Albiona Maxhuni","temp_build_verify_2/zh-Hant/Microsoft.CodeAnalysis.Workspaces.resources.dll","2","0","0"
"Albiona Maxhuni","backend/OnlineExam.Api/Migrations/20260420120000_AddQuestionProgrammingSupport.cs","1","45","0"
"Albiona Maxhuni","docs/05-user-stories.md","1","178","0"
"Albiona Maxhuni","docs/06-use-cases.md","1","121","0"
"Albiona Maxhuni","docs/10-ui-pages.md","1","101","0"
"Albiona Maxhuni","docs/work-log.md","1","10","0"
"Albiona Maxhuni","frontend/api/http.ts","1","39","0"
"Albiona Maxhuni","frontend/src/lib/mockExamsDb.js","1","97","0"
"Albiona Maxhuni","frontend/src/lib/permissions.js","1","3","0"
"Albiona Maxhuni","frontend/src/pages/admin/AdminCoursesPage.jsx","1","515","0"
"Albiona Maxhuni","frontend/src/pages/admin/AdminOfferingsPage.jsx","1","921","0"
"Albiona Maxhuni","frontend/src/pages/AdminUsersPage.jsx","1","168","0"
"Albiona Maxhuni","frontend/src/pages/exams/{ExamCreatePage.tsx => ExamCreatePage.jsx}","1","25","51"
"Albiona Maxhuni","frontend/src/pages/exams/{ExamDetailsPage.tsx => ExamDetailsPage.jsx}","1","21","41"
"Albiona Maxhuni","frontend/src/pages/exams/ExamCreatePage.tsx","1","134","0"
"Albiona Maxhuni","frontend/src/pages/exams/ExamDetailsPage.tsx","1","140","0"
"Albiona Maxhuni","frontend/src/pages/exams/ExamMonitorPage.jsx","1","0","209"
"Albiona Maxhuni","frontend/src/pages/question-bank/AiMaterialUploadPage.jsx","1","434","0"
"Albiona Maxhuni","frontend/src/pages/question-bank/GeneratedQuestionReviewPage.jsx","1","10","1"
"Alma Muzliukaj","frontend/src/styles/ui.css","26","4369","510"
"Alma Muzliukaj","backend/OnlineExam.Api/Controllers/ExamsController.cs","23","1078","651"
"Alma Muzliukaj","backend/OnlineExam.Api/Program.cs","13","315","65"
"Alma Muzliukaj","frontend/src/lib/examsApi.js","12","58","22"
"Alma Muzliukaj","frontend/src/pages/exams/ExamDetailsPage.jsx","12","350","211"
"Alma Muzliukaj","frontend/src/pages/exams/ExamGradebookPage.jsx","10","510","379"
"Alma Muzliukaj","frontend/src/pages/exams/StudentExamSessionPage.jsx","10","1878","824"
"Alma Muzliukaj","frontend/src/pages/exams/ExamCreatePage.jsx","9","302","304"
"Alma Muzliukaj","frontend/src/pages/exams/ExamsListPage.jsx","9","196","64"
"Alma Muzliukaj","frontend/src/lib/i18n.js","8","583","26"
"Alma Muzliukaj","backend/OnlineExam.Api/Controllers/AuthController.cs","7","180","60"
"Alma Muzliukaj","backend/OnlineExam.Api/Controllers/QuestionsController.cs","7","308","27"
"Alma Muzliukaj","backend/OnlineExam.Api/Migrations/AppDbContextModelSnapshot.cs","7","387","49"
"Alma Muzliukaj","frontend/src/routes/AppRoutes.jsx","7","19","5"
"Alma Muzliukaj","frontend/src/components/AppShell.jsx","6","125","49"
"Alma Muzliukaj","frontend/src/components/RoleDashboardPanels.jsx","6","563","432"
"Alma Muzliukaj","frontend/src/pages/Login.jsx","6","26","16"
"Alma Muzliukaj","backend/OnlineExam.Api/Data/AppDbContext.cs","5","95","8"
"Alma Muzliukaj","backend/OnlineExam.Api/Models/Exam.cs","5","59","9"
"Alma Muzliukaj","frontend/src/pages/exams/ExamMonitorPage.jsx","5","540","597"
"Alma Muzliukaj","backend/OnlineExam.Api/appsettings.Development.json","4","18","3"
"Alma Muzliukaj","backend/OnlineExam.Api/Models/Question.cs","4","25","9"
"Alma Muzliukaj","frontend/package.json","4","16","13"
"Alma Muzliukaj","frontend/package-lock.json","4","131","23"
"Alma Muzliukaj","frontend/src/pages/exams/QuestionCreatePage.jsx","4","288","114"
"Alma Muzliukaj","backend/OnlineExam.Api/DTOs/CreateExamDto.cs","3","16","3"
"Alma Muzliukaj","backend/OnlineExam.Api/DTOs/CreateQuestionDto.cs","3","12","0"
"Alma Muzliukaj","backend/OnlineExam.Api/DTOs/ExamAttemptResultDto.cs","3","21","0"
"Alma Muzliukaj","backend/OnlineExam.Api/DTOs/ExamResultsDtos.cs","3","48","0"
"Alma Muzliukaj","backend/OnlineExam.Api/OnlineExam.Api.csproj","3","24","0"
"Alma Muzliukaj","frontend/src/components/LanguageSwitcher.jsx","3","69","13"
"Alma Muzliukaj","frontend/src/components/RuntimeAlbanianTranslator.jsx","3","18","19"
"Alma Muzliukaj","frontend/src/lib/api.js","3","8","21"
"Alma Muzliukaj","frontend/src/pages/admin/AdminAcademicStructurePage.jsx","3","144","24"
"Alma Muzliukaj","frontend/src/pages/admin/AdminEnrollmentsPage.jsx","3","411","215"
"Alma Muzliukaj","frontend/src/pages/exams/StudentResultsPage.jsx","3","361","82"
"Alma Muzliukaj","frontend/src/styles/theme.css","3","61","35"
"Alma Muzliukaj","README.md","3","291","58"
"Alma Muzliukaj","backend/OnlineExam.Api/.dockerignore","2","18","0"
"Alma Muzliukaj","backend/OnlineExam.Api/appsettings.json","2","15","1"
"Alma Muzliukaj","backend/OnlineExam.Api/Controllers/CourseOfferingsController.cs","2","150","5"
"Alma Muzliukaj","backend/OnlineExam.Api/Controllers/DashboardController.cs","2","17","7"
"Alma Muzliukaj","backend/OnlineExam.Api/Controllers/ExamController.cs","2","293","21"
"Alma Muzliukaj","backend/OnlineExam.Api/Controllers/StudentCourseEnrollmentsController.cs","2","150","1"
"Alma Muzliukaj","backend/OnlineExam.Api/Controllers/UsersController.cs","2","110","3"
"Alma Muzliukaj","backend/OnlineExam.Api/Dockerfile","2","34","0"
"Alma Muzliukaj","backend/OnlineExam.Api/DTOs/ExamAccessDtos.cs","2","30","0"
"Alma Muzliukaj","backend/OnlineExam.Api/Models/ExamAttempt.cs","2","15","0"
"Alma Muzliukaj","docs/work-log-alma.md","2","57","0"
"Alma Muzliukaj","frontend/index.html","2","3","3"
"Alma Muzliukaj","frontend/src/pages/admin/AdminUsersPage.jsx","2","95","29"
"Alma Muzliukaj","frontend/src/pages/Dashboard.jsx","2","7","7"
"Alma Muzliukaj","frontend/src/pages/question-bank/QuestionBankEditorPage.jsx","2","103","56"
"Alma Muzliukaj","frontend/src/pages/question-bank/QuestionBankPage.jsx","2","403","43"
"Alma Muzliukaj","frontend/vercel.json","2","18","0"
"Alma Muzliukaj",".gitignore","1","12","0"
"Alma Muzliukaj","backend/OnlineExam.Api/Controllers/CoursesController.cs","1","82","0"
"Alma Muzliukaj","backend/OnlineExam.Api/Controllers/TermsController.cs","1","28","0"
"Alma Muzliukaj","backend/OnlineExam.Api/DTOs/BuildExamParamsDto.cs","1","12","0"
"Alma Muzliukaj","backend/OnlineExam.Api/DTOs/CourseOfferingResponseDto.cs","1","64","0"
"Alma Muzliukaj","backend/OnlineExam.Api/DTOs/CreateCourseOfferingDto.cs","1","14","0"
"Alma Muzliukaj","backend/OnlineExam.Api/DTOs/CreateExamAttemptDto.cs","1","17","0"
"Alma Muzliukaj","backend/OnlineExam.Api/DTOs/CreateUserDto.cs","1","8","0"
"Alma Muzliukaj","backend/OnlineExam.Api/DTOs/ExamDto.cs","1","21","0"
"Alma Muzliukaj","backend/OnlineExam.Api/DTOs/LoginRequestDto.cs","1","8","0"
"Alma Muzliukaj","backend/OnlineExam.Api/DTOs/LoginResponseDto.cs","1","10","0"
"Alma Muzliukaj","backend/OnlineExam.Api/DTOs/PublishExamDto.cs","1","7","0"
"Alma Muzliukaj","backend/OnlineExam.Api/DTOs/QuestionBankDtos.cs","1","4","0"
"Alma Muzliukaj","backend/OnlineExam.Api/DTOs/QuestionDto.cs","1","11","0"
"Alma Muzliukaj","backend/OnlineExam.Api/DTOs/RandomExamGenerationDtos.cs","1","4","0"
"Alma Muzliukaj","backend/OnlineExam.Api/DTOs/UserResponseDto.cs","1","8","0"
"Alma Muzliukaj","backend/OnlineExam.Api/Migrations/20260403073935_InitialCreate.cs","1","51","0"
"Alma Muzliukaj","backend/OnlineExam.Api/Migrations/20260403073935_InitialCreate.Designer.cs","1","95","0"
"Alma Muzliukaj","backend/OnlineExam.Api/Migrations/20260406193718_Sprint2_ExamAndQuestion.cs","1","116","0"
"Alma Muzliukaj","backend/OnlineExam.Api/Migrations/20260406193718_Sprint2_ExamAndQuestion.Designer.cs","1","156","0"
"Alma Muzliukaj","backend/OnlineExam.Api/Migrations/20260406214039_AddCreatedByUserIdToExam.cs","1","155","0"
"Alma Muzliukaj","backend/OnlineExam.Api/Migrations/20260406214039_AddCreatedByUserIdToExam.Designer.cs","1","177","0"
"Alma Muzliukaj","backend/OnlineExam.Api/Migrations/20260413204437_AddAcademicEntities.cs","1","145","0"
"Alma Muzliukaj","backend/OnlineExam.Api/Migrations/20260413204437_AddAcademicEntities.Designer.cs","1","264","0"
"Alma Muzliukaj","backend/OnlineExam.Api/Migrations/20260417082126_AddExamStatus.cs","1","153","0"
"Alma Muzliukaj","backend/OnlineExam.Api/Migrations/20260417082126_AddExamStatus.Designer.cs","1","327","0"
"Alma Muzliukaj","backend/OnlineExam.Api/Migrations/20260424003000_AddMissingExamCourseOfferingColumn.cs","1","63","0"
"Alma Muzliukaj","backend/OnlineExam.Api/Migrations/20260510154500_AddExamAttemptDraftState.cs","1","22","26"
"Alma Muzliukaj","backend/OnlineExam.Api/Migrations/20260529100000_AddQuestionBankClassification.cs","1","35","0"
"Alma Muzliukaj","backend/OnlineExam.Api/Migrations/20260626224034_AddExamSessionBindings.cs","1","20","0"
"Alma Muzliukaj","backend/OnlineExam.Api/Migrations/20260627000100_AddAttemptQuestionRandomization.cs","1","35","0"
"Alma Muzliukaj","backend/OnlineExam.Api/Models/Course.cs","1","11","0"
"Alma Muzliukaj","backend/OnlineExam.Api/Models/CourseOffering.cs","1","17","0"
"Alma Muzliukaj","backend/OnlineExam.Api/Models/Term.cs","1","11","0"
"Alma Muzliukaj","backend/OnlineExam.Api/Models/User.cs","1","15","0"
"Alma Muzliukaj","backend/OnlineExam.Api/OnlineExam.Api.http","1","6","0"
"Alma Muzliukaj","backend/OnlineExam.Api/Properties/launchSettings.json","1","31","0"
"Alma Muzliukaj","docker-compose.yml","1","17","0"
"Alma Muzliukaj","docs/03-functional-requirements.md","1","43","0"
"Alma Muzliukaj","docs/07-data-model.md","1","26","0"
"Alma Muzliukaj","docs/08-system-architecture.md","1","19","0"
"Alma Muzliukaj","docs/09-api-overview.md","1","28","0"
"Alma Muzliukaj","docs/alma-generated-question-review-e2e.md","1","31","0"
"Alma Muzliukaj","docs/alma-published-result-e2e.md","1","43","0"
"Alma Muzliukaj","frontend/.env.example","1","0","2"
"Alma Muzliukaj","frontend/public/app-logo.svg","1","47","0"
"Alma Muzliukaj","frontend/public/logo-itm.svg","1","35","0"
"Alma Muzliukaj","frontend/src/hooks/useCurrentUser.js","1","4","4"
"Alma Muzliukaj","frontend/src/hooks/useFaceProctoring.js","1","125","0"
"Alma Muzliukaj","frontend/src/lib/reportsApi.js","1","27","0"
"Alma Muzliukaj","frontend/src/lib/studentApi.js","1","7","0"
"Alma Muzliukaj","frontend/src/pages/admin/AdminSmuIntegrationPage.jsx","1","54","51"
"Alma Muzliukaj","frontend/src/pages/question-bank/GeneratedQuestionReviewPage.jsx","1","473","0"
"Alma Muzliukaj","frontend/src/pages/reports/ReportsPage.jsx","1","340","0"
"Alma Muzliukaj","frontend/src/routes/ProtectedRoute.jsx","1","5","5"
"Alma Muzliukaj","Online-Exam.sln","1","29","0"
"Alma Muzliukaj","sample-question-bank-30.csv","1","31","0"
"Alma Muzliukaj","temp_build_verify_3/appsettings.Development.json","1","15","0"
"Alma Muzliukaj","temp_build_verify_3/appsettings.json","1","14","0"
"Alma Muzliukaj","temp_build_verify_3/BCrypt.Net-Next.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/cs/Microsoft.CodeAnalysis.CSharp.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/cs/Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/cs/Microsoft.CodeAnalysis.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/cs/Microsoft.CodeAnalysis.Workspaces.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/de/Microsoft.CodeAnalysis.CSharp.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/de/Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/de/Microsoft.CodeAnalysis.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/de/Microsoft.CodeAnalysis.Workspaces.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/es/Microsoft.CodeAnalysis.CSharp.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/es/Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/es/Microsoft.CodeAnalysis.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/es/Microsoft.CodeAnalysis.Workspaces.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/fr/Microsoft.CodeAnalysis.CSharp.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/fr/Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/fr/Microsoft.CodeAnalysis.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/fr/Microsoft.CodeAnalysis.Workspaces.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/Humanizer.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/it/Microsoft.CodeAnalysis.CSharp.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/it/Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/it/Microsoft.CodeAnalysis.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/it/Microsoft.CodeAnalysis.Workspaces.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/ja/Microsoft.CodeAnalysis.CSharp.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/ja/Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/ja/Microsoft.CodeAnalysis.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/ja/Microsoft.CodeAnalysis.Workspaces.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/ko/Microsoft.CodeAnalysis.CSharp.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/ko/Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/ko/Microsoft.CodeAnalysis.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/ko/Microsoft.CodeAnalysis.Workspaces.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/Microsoft.AspNetCore.Authentication.JwtBearer.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/Microsoft.AspNetCore.OpenApi.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/Microsoft.Bcl.AsyncInterfaces.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/Microsoft.CodeAnalysis.CSharp.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/Microsoft.CodeAnalysis.CSharp.Workspaces.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/Microsoft.CodeAnalysis.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/Microsoft.CodeAnalysis.Workspaces.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/Microsoft.EntityFrameworkCore.Abstractions.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/Microsoft.EntityFrameworkCore.Design.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/Microsoft.EntityFrameworkCore.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/Microsoft.EntityFrameworkCore.Relational.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/Microsoft.Extensions.DependencyModel.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/Microsoft.IdentityModel.Abstractions.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/Microsoft.IdentityModel.JsonWebTokens.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/Microsoft.IdentityModel.Logging.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/Microsoft.IdentityModel.Protocols.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/Microsoft.IdentityModel.Protocols.OpenIdConnect.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/Microsoft.IdentityModel.Tokens.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/Microsoft.OpenApi.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/Mono.TextTemplating.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/Npgsql.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/Npgsql.EntityFrameworkCore.PostgreSQL.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/OnlineExam.Api.deps.json","1","1052","0"
"Alma Muzliukaj","temp_build_verify_3/OnlineExam.Api.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/OnlineExam.Api.exe","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/OnlineExam.Api.pdb","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/OnlineExam.Api.runtimeconfig.json","1","20","0"
"Alma Muzliukaj","temp_build_verify_3/pl/Microsoft.CodeAnalysis.CSharp.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/pl/Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/pl/Microsoft.CodeAnalysis.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/pl/Microsoft.CodeAnalysis.Workspaces.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/pt-BR/Microsoft.CodeAnalysis.CSharp.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/pt-BR/Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/pt-BR/Microsoft.CodeAnalysis.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/pt-BR/Microsoft.CodeAnalysis.Workspaces.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/ru/Microsoft.CodeAnalysis.CSharp.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/ru/Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/ru/Microsoft.CodeAnalysis.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/ru/Microsoft.CodeAnalysis.Workspaces.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/Swashbuckle.AspNetCore.Swagger.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/Swashbuckle.AspNetCore.SwaggerGen.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/Swashbuckle.AspNetCore.SwaggerUI.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/System.CodeDom.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/System.Composition.AttributedModel.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/System.Composition.Convention.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/System.Composition.Hosting.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/System.Composition.Runtime.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/System.Composition.TypedParts.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/System.IdentityModel.Tokens.Jwt.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/tr/Microsoft.CodeAnalysis.CSharp.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/tr/Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/tr/Microsoft.CodeAnalysis.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/tr/Microsoft.CodeAnalysis.Workspaces.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/zh-Hans/Microsoft.CodeAnalysis.CSharp.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/zh-Hans/Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/zh-Hans/Microsoft.CodeAnalysis.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/zh-Hans/Microsoft.CodeAnalysis.Workspaces.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/zh-Hant/Microsoft.CodeAnalysis.CSharp.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/zh-Hant/Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/zh-Hant/Microsoft.CodeAnalysis.resources.dll","1","0","0"
"Alma Muzliukaj","temp_build_verify_3/zh-Hant/Microsoft.CodeAnalysis.Workspaces.resources.dll","1","0","0"
